City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
7,Nikolskoye,RU,71.8,overcast clouds,59.7035,30.7861,Tourist House - Sablino
8,Tukrah,LY,76.98,clear sky,32.5341,20.5791,Lokta restaurant
13,Iisalmi,FI,73.42,overcast clouds,63.5592,27.1907,Original Sokos Hotel Koljonvirta
16,Turmalina,BR,80.82,overcast clouds,-17.2856,-42.73,Hotel Cristal
17,Vaitape,PF,80.33,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
20,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Saint George,US,83.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
23,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
25,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
27,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
29,Ponta Do Sol,PT,70.43,overcast clouds,32.6667,-17.1,Hotel do Campo
32,Kapaa,US,75.52,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Sumenep,ID,80.87,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
38,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
41,Hirara,JP,82.67,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
42,Inhambane,MZ,75.18,scattered clouds,-23.865,35.3833,Oceano
44,Rikitea,PF,72.41,overcast clouds,-23.1203,-134.9692,Pension Maro'i
45,Atuona,PF,78.58,light rain,-9.8,-139.0333,Villa Enata
49,Kloulklubed,PW,79.3,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
53,Butaritari,KI,82.54,light rain,3.0707,172.7902,Isles Sunset Lodge
56,Saint-Pierre,RE,76.68,light rain,-21.3393,55.4781,Lindsey Hôtel
58,Champerico,GT,84.34,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
64,Jablah,SY,77.29,few clouds,35.3614,35.9256,مدرسة سعد بن ابي وقاص الابتدائيه
68,Nouadhibou,MR,80.58,scattered clouds,20.931,-17.0347,El Medina
69,Hithadhoo,MV,82.9,overcast clouds,-0.6,73.0833,Scoop Guest House
70,Inirida,CO,83.61,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
76,Woodward,US,70.93,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
80,Farafangana,MG,73.63,light rain,-22.8167,47.8333,Miarina
81,Dingle,PH,78.26,light rain,10.9995,122.6711,SEGAYA PROPERTY
83,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Uncle Junior Robert
86,Lorengau,PG,79.5,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
89,Morbach,DE,76.05,light rain,49.8167,7.1167,Boardinghouse Morbach
91,Arrecife,ES,75.27,broken clouds,28.963,-13.5477,Hotel Lancelot
100,Luanda,AO,82.4,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
102,Iztapa,GT,77.05,overcast clouds,13.9333,-90.7075,Villas de Puerto Viejo
103,Beira,MZ,75.29,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
106,Jashpurnagar,IN,83.39,overcast clouds,22.9,84.15,Sagar Restaurant
