City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Luis,AR,-33.295,-66.3356,65.7,48,37,19.55,scattered clouds
1,Jamestown,US,42.097,-79.2353,65.52,94,90,8.05,overcast clouds
2,Upernavik,GL,72.7868,-56.1549,33.87,73,19,6.6,few clouds
3,Castro,BR,-24.7911,-50.0119,69.67,66,18,2.21,few clouds
4,Victoria,HK,22.2855,114.1577,87.33,81,94,1.01,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,28.06,86,0,4.61,clear sky
6,Tautira,PF,-17.7333,-149.15,78.82,82,56,13.78,light rain
7,Nikolskoye,RU,59.7035,30.7861,71.8,47,95,8.23,overcast clouds
8,Tukrah,LY,32.5341,20.5791,76.98,45,0,20.67,clear sky
9,Carnarvon,AU,-24.8667,113.6333,59.07,82,100,10.36,overcast clouds
10,Pareora,NZ,-44.4871,171.2132,43.18,97,100,4.0,overcast clouds
11,Dunedin,NZ,-45.8742,170.5036,51.8,69,100,11.99,moderate rain
12,Prince Rupert,CA,54.3161,-130.3201,51.49,84,90,5.75,light rain
13,Iisalmi,FI,63.5592,27.1907,73.42,33,100,5.61,overcast clouds
14,Beyneu,KZ,45.3167,55.2,91.47,28,0,21.92,clear sky
15,Port Alfred,ZA,-33.5906,26.891,61.45,57,93,9.62,overcast clouds
16,Turmalina,BR,-17.2856,-42.73,80.82,40,99,4.18,overcast clouds
17,Vaitape,PF,-16.5167,-151.75,80.33,77,21,5.14,light rain
18,Bluff,NZ,-46.6,168.3333,49.8,85,95,10.38,overcast clouds
19,Ilulissat,GL,69.2167,-51.1,46.42,49,20,1.14,few clouds
20,Vaini,TO,-21.2,-175.2,71.76,78,75,0.0,broken clouds
21,Saint George,US,37.1041,-113.5841,83.35,19,1,5.75,clear sky
22,Nantucket,US,41.2835,-70.0995,64.08,100,90,6.91,fog
23,Georgetown,MY,5.4112,100.3354,82.33,87,20,5.99,few clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,90,9.22,overcast clouds
25,Souillac,MU,-20.5167,57.5167,77.38,69,75,19.13,broken clouds
26,Stornoway,GB,58.2093,-6.3865,62.92,63,40,6.91,scattered clouds
27,Port Blair,IN,11.6667,92.75,84.24,79,40,1.14,scattered clouds
28,Emet,TR,39.343,29.2585,60.64,54,84,12.28,broken clouds
29,Ponta Do Sol,PT,32.6667,-17.1,70.43,62,94,5.75,overcast clouds
30,Punta Arenas,CL,-53.15,-70.9167,35.71,75,90,8.03,light rain
31,Nome,US,64.5011,-165.4064,33.87,75,90,13.8,overcast clouds
32,Kapaa,US,22.0752,-159.319,75.52,84,75,1.01,moderate rain
33,Hobart,AU,-42.8794,147.3294,54.27,72,75,1.99,light rain
34,Sumenep,ID,-7.0167,113.8667,80.87,84,100,10.13,overcast clouds
35,Ribeira Grande,PT,38.5167,-28.7,66.6,59,20,9.22,few clouds
36,Aswan,EG,24.0934,32.907,103.59,8,1,18.28,clear sky
37,Mar Del Plata,AR,-38.0023,-57.5575,53.1,67,0,8.99,light rain
38,Gat,IL,31.61,34.7642,82.4,47,3,15.73,clear sky
39,Lieksa,FI,63.3167,30.0167,66.97,42,19,4.38,few clouds
40,Busselton,AU,-33.65,115.3333,54.09,78,0,1.54,clear sky
41,Hirara,JP,24.8,125.2833,82.67,92,14,17.38,few clouds
42,Inhambane,MZ,-23.865,35.3833,75.18,60,40,7.0,scattered clouds
